objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
T202509250338445m332636,03:38:44.513 -33:26:36.458,54.68547398404097,-33.44346060553321,54.68541982709869,-33.44343165030096,4,2025-09-25T08:09:26.776,16.689933900700858,r,2025-10-07T06:16:50.189,16.672142154204444,r,2025-10-07T06:34:54.128,18.138948036974917,g,0545m335_9587,54.68495596841694,-33.44100788875716,22.49357177875936,21.217303723096848,20.181390941143036,nan,nan,NONE,NONE
A202509250326410m344018,03:26:41.006 -34:40:17.906,51.67086104933808,-34.67164065024843,51.67089472995829,-34.67166499540992,4,2025-09-25T08:11:24.418,21.650266919332054,r,2025-10-07T06:36:54.190,21.437881519479333,g,2025-10-07T06:36:54.190,21.437881519479333,g,0517m347_2818,51.67091722531345,-34.67168233411036,21.24125212430954,20.454140454530716,19.633561372756958,nan,nan,NONE,NONE
T202509250343063m350823,03:43:06.255 -35:08:22.752,55.77606633803921,-35.13965346669799,55.77606633803921,-35.13965346669799,3,2025-09-25T08:37:17.584,22.831853097435612,g,2025-10-07T06:26:45.768,21.102613463870938,r,2025-10-07T06:44:49.830,21.48603538397798,g,0557m352_6655,55.7763878272483,-35.13995010368038,20.901772528886795,19.55987274646759,18.81801038980484,nan,nan,NONE,NONE
T202509250342395m333606,03:42:39.498 -33:36:05.635,55.66457671930342,-33.60156548458073,55.66455522717965,-33.60159077408257,4,2025-09-25T08:19:19.597,21.417149813673454,r,2025-09-25T08:37:17.584,21.354937076778704,g,2025-10-07T06:44:49.830,21.617928690757537,g,0557m335_3371,55.66508781397913,-33.60149796793651,21.20858371257782,20.303099900484085,19.609665870666504,nan,nan,NONE,NONE
A202509250338351m332831,03:38:35.121 -33:28:30.984,54.64634152294242,-33.47527336014028,54.64635068933475,-33.47528068515206,4,2025-09-25T08:09:26.776,19.236433566975453,r,2025-09-25T08:27:27.094,19.043076647856978,g,2025-10-07T06:34:54.128,19.770259637885307,g,0545m335_8103,54.64638908495212,-33.4752578612539,18.219489753246307,17.240846753120422,16.596696376800537,nan,nan,NONE,NONE
T202509250341501m341521,03:41:50.071 -34:15:21.010,55.45863049889763,-34.25583621953191,55.45861790058932,-34.25582334943369,3,2025-09-25T08:37:17.584,23.698316873551576,g,2025-10-07T06:26:45.768,21.196303767053323,r,2025-10-07T06:44:49.830,21.386917598174563,g,0553m342_11434,55.45894972371649,-34.25613604281978,21.30651392042637,20.309272408485413,19.602410197257996,nan,nan,NONE,NONE
C202509250328064m360949,03:28:06.398 -36:09:49.382,52.0266608190999,-36.1637174946115,52.02626034654695,-36.16385322275359,1,2025-10-07T06:38:52.768,19.91270527217633,g,2025-10-07T06:38:52.768,19.91270527217633,g,2025-10-07T06:38:52.768,19.91270527217633,g,0521m362_3212,52.02680703736674,-36.16387253557471,17.44653880596161,16.555194854736328,15.931819081306458,nan,nan,NONE,NONE
T202509250334134m333626,03:34:13.393 -33:36:26.210,53.55580646928597,-33.60728063913401,53.55596490228992,-33.60729509430409,3,2025-09-25T08:09:26.776,21.09717629885104,r,2025-10-07T06:34:54.128,20.321213787437856,g,2025-10-07T06:34:54.128,20.321213787437856,g,0536m335_1480,53.55727620958878,-33.60570770800155,21.428514271974564,20.707764327526093,20.18289491534233,nan,nan,NONE,NONE
T202509250348395m362422,03:48:39.500 -36:24:21.568,57.16458455200481,-36.40599126833464,57.16459080272237,-36.40598214178824,4,2025-09-25T08:17:21.427,17.031193376864024,r,2025-10-07T06:24:47.034,17.024374934075045,r,2025-10-07T06:42:50.666,17.827770026966597,g,0572m365_2010,57.16697517748767,-36.405887574183,23.533174693584442,23.199840262532234,22.582607055082917,nan,nan,NONE,NONE
C202509250330588m351133,03:30:58.802 -35:11:32.961,52.74501125131471,-35.19248938879333,52.74499689708228,-35.19250123529105,4,2025-09-25T08:11:24.418,21.349810996073302,r,2025-09-25T08:11:24.418,21.349810996073302,r,2025-10-07T06:36:54.190,21.743925248244636,g,0527m352_6753,52.74504719468459,-35.1925543220608,20.9445858001709,20.5795356631279,20.073868930339813,nan,nan,NONE,NONE
A202509250331017m350832,03:31:01.744 -35:08:32.204,52.75726906754749,-35.14227895787383,52.75726906754749,-35.14227895787383,3,2025-09-25T08:29:24.759,21.77829276867641,g,2025-10-07T06:18:49.099,21.43906438015399,r,2025-10-07T06:36:54.190,21.76354640185575,g,0527m352_7224,52.75727957038517,-35.1422837873688,20.6710946559906,19.783580899238586,19.029873609542847,nan,nan,NONE,NONE
T202509250343295m332707,03:43:29.526 -33:27:06.570,55.87302831229832,-33.45182510724625,55.8729890416116,-33.45182354886807,4,2025-09-25T08:19:19.597,19.106820230507285,r,2025-09-25T08:19:19.597,19.106820230507285,r,2025-10-07T06:44:49.830,20.821499995238344,g,0557m335_12506,55.87367038585612,-33.45065385324615,16.15741729736328,15.266507863998413,14.661557078361511,0.075422,nan,spec,NED
C202509250332026m351717,03:32:02.582 -35:17:16.659,53.01076195700261,-35.2879610725772,53.01120310286754,-35.28798075231999,3,2025-09-25T08:29:24.759,20.266836593025893,g,2025-09-25T08:29:24.759,20.266836593025893,g,2025-10-07T06:36:54.190,20.813231763293427,g,0530m352_5457,53.01089985983027,-35.28800719262,17.479045391082764,16.604307889938354,15.944541096687317,nan,nan,NONE,NONE
C202509250332173m353658,03:32:17.295 -35:36:58.333,53.0720629039458,-35.61620384396134,53.07208069300654,-35.61625737726415,2,2025-09-25T08:29:24.759,21.611443461744294,g,2025-10-07T06:36:54.190,21.45460044515323,g,2025-10-07T06:36:54.190,21.45460044515323,g,0531m355_4302,53.07217444491113,-35.61632528461789,20.418557971715927,19.9222931265831,19.274510741233826,nan,nan,NONE,NONE
A202509250347325m363353,03:47:32.462 -36:33:53.172,56.8852621668117,-36.56477006426896,56.88526721552983,-36.56475361093717,3,2025-09-25T08:17:21.427,21.44856999292611,r,2025-10-07T06:24:47.034,21.271686054903952,r,2025-10-07T06:24:47.034,21.271686054903952,r,0569m365_3398,56.8853464585417,-36.56476437945925,23.423828333616257,23.061530217528343,21.959946900606155,nan,nan,NONE,NONE
T202509250330040m342134,03:30:04.033 -34:21:34.353,52.51680784835986,-34.35954264239493,52.51680784835986,-34.35954264239493,3,2025-09-25T08:11:24.418,15.896868657694402,r,2025-09-25T08:11:24.418,15.896868657694402,r,2025-10-07T06:36:54.190,16.952516424974906,g,0526m342_2433,52.52927048233742,-34.36453499558237,19.7159805893898,19.115324914455414,18.776729106903076,nan,nan,NONE,NONE
A202509250330592m354505,03:30:59.226 -35:45:04.650,52.74677537729539,-35.75129177886637,52.74677537729539,-35.75129177886637,3,2025-09-25T08:29:24.759,21.87871869882118,g,2025-10-07T06:36:54.190,21.812614599005624,g,2025-10-07T06:36:54.190,21.812614599005624,g,0526m357_8468,52.74681283298597,-35.75126319026513,22.666012048721313,21.6520968824625,20.918126553297043,nan,nan,NONE,NONE
C202509250329181m363218,03:29:18.088 -36:32:17.807,52.32536736499566,-36.53827994795716,52.32536736499566,-36.53827994795716,2,2025-09-25T08:31:23.710,20.938786376388734,g,2025-09-25T08:31:23.710,20.938786376388734,g,2025-10-07T06:38:52.768,20.999124499297476,g,0522m365_6634,52.32552579924519,-36.53826158587955,20.106269866228104,19.72506582736969,19.223600924015045,nan,nan,NONE,NONE
T202509250332509m345106,03:32:50.893 -34:51:06.086,53.21205660818499,-34.85169058811172,53.21218838755514,-34.85162044183717,4,2025-09-25T08:11:24.418,21.22249607957682,r,2025-10-07T06:18:49.099,20.546218209664012,r,2025-10-07T06:36:54.190,21.084875892337173,g,0532m347_3367,53.21262006094997,-34.85157627012487,16.113942861557007,15.312477350234985,14.635184407234192,0.071499,nan,spec,NED
A202509250346373m361919,03:46:37.348 -36:19:18.801,56.65561762969997,-36.32188933888443,56.65561762969997,-36.32188933888443,3,2025-09-25T08:17:21.427,21.38261298735022,r,2025-09-25T08:17:21.427,21.38261298735022,r,2025-10-07T06:42:50.666,21.81419052484092,g,0567m362_2619,56.65559696082734,-36.32189879839274,19.84323412179947,19.77189749479294,19.493506252765656,nan,nan,NONE,NONE
T202509250329488m360449,03:29:48.810 -36:04:48.540,52.45337777369982,-36.08015019942859,52.45339220462536,-36.08013069944406,4,2025-09-25T08:13:22.912,20.728460262957967,r,2025-09-25T08:13:22.912,20.728460262957967,r,2025-10-07T06:38:52.768,21.439641030323884,g,0525m360_2539,52.45398255499439,-36.07953211228511,18.017326593399048,17.376714944839478,16.85213267803192,nan,nan,NONE,NONE
